,median_visits_u_ddf,median_visits_g_ddf,median_visits_r_ddf,median_visits_i_ddf,median_visits_z_ddf,median_visits_y_ddf,total_visits_u_ddf,total_visits_g_ddf,total_visits_r_ddf,total_visits_i_ddf,total_visits_z_ddf,total_visits_y_ddf,median_single_visit_depth_u_ddf,median_single_visit_depth_g_ddf,median_single_visit_depth_r_ddf,median_single_visit_depth_i_ddf,median_single_visit_depth_z_ddf,median_single_visit_depth_y_ddf,ddf_ra,ddf_dec,number_ddf_fields
colossus_2664,5918.0,2030.0,4060.0,4041.0,5195.0,3971.0,24980,8689,17426,17262,22181,16946,23.1344519041,24.408296559,24.0640606593,23.6432475744,23.0930796544,22.0709818265,"[349.386443, 34.393398, 0.0, 53.009145, 150.362355]","[-63.32100400000001, -5.09032, -45.524505, -27.438943, 2.836499]",5
colossus_2665,5456.0,2028.0,4200.0,3977.0,5070.0,3880.0,27466,10138,20486,20145,25989,19912,23.1436754851,24.4425213188,24.088883069,23.6448445175,23.0852048042,22.0676318319,"[349.386443, 34.393398, 0.0, 53.009145, 150.362355]","[-63.32100400000001, -5.09032, -45.524505, -27.438943, 2.836499]",5
colossus_2667,5960.0,2200.0,4402.0,4386.0,5676.0,4358.0,26189,9980,20083,19810,25537,19528,23.0664997554,24.3650587696,24.0278909761,23.6087430366,23.0672242683,22.0594457887,"[349.386443, 34.393398, 0.0, 53.009145, 150.362355]","[-63.32100400000001, -5.09032, -45.524505, -27.438943, 2.836499]",5
kraken_2026,5870.0,2110.0,4220.0,4220.0,5458.0,4165.0,25384,9182,18423,18263,23620,18014,23.0925299077,24.3936152631,24.055147041,23.6372636695,23.0983528074,22.0772818125,"[349.386443, 0.0, 34.393398, 53.009145, 150.362355]","[-63.32100400000001, -45.524505, -5.09032, -27.438943, 2.836499]",5
kraken_2035,3200.0,1910.0,3935.0,3820.0,4894.0,3740.0,26834,15150,30923,29862,38177,29215,23.2678405904,24.4803958607,24.1367091512,23.7004319695,23.1435897529,22.1153512123,"[349.386443, 34.393398, 0.0, 53.009145, 119.55514500000001, 150.362355, 176.62637, 187.624779, 201.854221]","[-63.32100400000001, -5.09032, -45.524505, -27.438943, -43.366522, 2.836499, -33.146604, -42.492805, 0.931384]",9
kraken_2036,4040.0,1681.0,3380.0,3349.0,4325.0,3313.0,20090,7561,15401,15036,19409,14849,23.0644698434,24.3514433939,24.0077820164,23.5920056989,23.0461164618,22.044413235,"[349.386443, 34.393398, 0.0, 53.009145, 150.362355]","[-63.32100400000001, -5.09032, -45.524505, -27.438943, 2.836499]",5
mothra_2045,4720.0,1452.0,2940.0,2898.0,3735.0,2860.0,21871,7643,15877,15121,19283,14690,23.0807409281,24.3730998905,24.0191837983,23.5913472496,23.0389039147,22.0073914482,"[349.386443, 53.009145, 0.0, 34.393398, 150.362355]","[-63.32100400000001, -27.438943, -45.524505, -5.09032, 2.836499]",5
pontus_2002,4200.0,1850.0,3748.0,3662.0,4723.0,3620.0,19125,8992,18077,17911,23182,17762,23.1787138199,24.4762212273,24.1265828234,23.6618027909,23.0962581498,22.0635939371,"[349.386443, 34.393398, 0.0, 53.009145, 150.362355]","[-63.32100400000001, -5.09032, -45.524505, -27.438943, 2.836499]",5
pontus_2489,5865.0,2140.0,4298.0,4280.0,5564.0,4280.0,22740,9686,19509,19259,24884,19085,23.4045295052,24.092893196,23.7815614693,23.3829117207,22.8462872422,21.844223254,"[349.386443, 0.0, 34.393398, 53.009145, 150.362355]","[-63.32100400000001, -45.524505, -5.09032, -27.438943, 2.836499]",5
pontus_2502,460.0,70.0,142.0,140.0,182.0,140.0,2540,450,902,900,1170,900,23.1237749199,24.4566027644,24.0591008115,23.5615887227,23.0319407318,22.0183832325,"[53.009145, 34.393398, 0.0, 150.362355, 349.386443]","[-27.438943, -5.09032, -45.524505, 2.836499, -63.32100400000001]",5
